alarm_id,node,alarm_type,description,severity,threshold,actual_value,users_impacted,timestamp
AL-20001,NODE-205,POWER_FAILURE,AC power loss detected at radio site,Critical,0.0,1.0,1800,2026-09-08 09:00:00
AL-20002,NODE-205,POWER_FAILURE,Backup battery operating after power loss,Critical,0.0,1.0,1800,2026-09-08 09:01:00
AL-20003,NODE-205,POWER_FAILURE,Power restored but voltage unstable,Major,180.0,165.0,900,2026-09-08 09:03:00
AL-20004,NODE-502,HIGH_TEMPERATURE,Cabinet temperature above threshold,Minor,70.0,78.0,20,2026-09-08 09:05:00
AL-20005,NODE-502,HIGH_TEMPERATURE,Radio unit temperature rising,Major,75.0,89.0,40,2026-09-08 09:07:00
AL-20006,NODE-502,HIGH_TEMPERATURE,Cooling fan failure suspected,Critical,80.0,96.0,120,2026-09-08 09:09:00
AL-20007,NODE-401,CELL_UNAVAILABLE,Cell unavailable detected,Major,1.0,0.0,80,2026-09-08 09:10:00
AL-20008,NODE-401,CELL_UNAVAILABLE,Multiple cells unavailable,Critical,2.0,0.0,650,2026-09-08 09:12:00
AL-20009,NODE-401,CELL_UNAVAILABLE,Cell service recovered intermittently,Minor,1.0,0.0,35,2026-09-08 09:14:00
AL-20010,NODE-601,S1_LINK_DOWN,S1 interface link down,Critical,1.0,0.0,1500,2026-09-08 09:15:00
AL-20011,NODE-601,S1_LINK_DOWN,S1 link flapping detected,Major,1.0,0.0,900,2026-09-08 09:17:00
AL-20012,NODE-601,S1_LINK_DOWN,Secondary S1 link down,Major,1.0,0.0,400,2026-09-08 09:19:00
AL-20013,NODE-301,VSWR_HIGH,Antenna VSWR above threshold,Major,1.5,2.4,120,2026-09-08 09:20:00
AL-20014,NODE-301,VSWR_HIGH,High VSWR on sector 2,Critical,1.5,3.1,1000,2026-09-08 09:22:00
AL-20015,NODE-301,VSWR_HIGH,VSWR warning cleared and returned,Minor,1.5,1.8,45,2026-09-08 09:24:00
AL-20016,NODE-101,HIGH_CPU,CPU utilization above threshold,Major,80.0,94.0,50,2026-09-08 09:25:00
AL-20017,NODE-101,HIGH_CPU,Sustained CPU saturation,Critical,85.0,99.0,300,2026-09-08 09:27:00
AL-20018,NODE-101,HIGH_CPU,Short CPU utilization spike,Minor,80.0,83.0,15,2026-09-08 09:29:00
AL-20019,NODE-702,POWER_FAILURE,Remote site power failure,Critical,0.0,1.0,2200,2026-09-08 09:30:00
AL-20020,NODE-702,HIGH_CPU,Core processing load elevated,Major,80.0,91.0,700,2026-09-08 09:32:00
AL-20021,NODE-702,S1_LINK_DOWN,Transport link unavailable,Critical,1.0,0.0,2200,2026-09-08 09:34:00
